Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
room|building||nserc|
middle|torso||gagosian|
room|building||study|
kitchen|dwelling||cssa|
cooker|malofeyev|0|----|0
corner|blumenberg||sheath|
room|building||paperless|
walls|font||caprimulgidae|
counter|aircraft|0|foundation|0
left|outfield||hichilema|
oven|stove|0|beating|0
sink|sink|1|santika|0
side|side||previti|
fridge|fridge|1|moelgg|0
ceiling|room||patented|
side|side||will|
garden|garden||adiga|
terrace|garden|0|aerospace|0
lawn|lawn||eligibility|
stone|stone||drager|
curtain|curtain|1|dieppa|0
of|linate||staying|
side|side||classic|
wine|wine||nungesser|
cupboard|cupboard|1|codefendants|0
chair|chair|1|type|0
front|battlefield||masoudi|
room|building||orbiters|
parquet|theater||living_room|
