Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
corner|walwyn||kitchen|
kitchen|dwelling||kitchen|
fridge|fridge|1|kitchen|1
side|side||kitchen|
sink|sink|1|kitchen|1
dishwasher|dishwasher|1|kitchen|1
cupboard|cupboard|1|kitchen|1
coffee|coffee||kitchen|
cups|diadem|0|kitchen|1
front|battlefield||kitchen|
cupboard|cupboard|1|kitchen|1
sink|sink|1|kitchen|1
bottle|fossilised|0|kitchen|1
cupboard|cupboard|1|kitchen|1
wall|wall||kitchen|
boards|ice_hockey_rink|0|kitchen|1
glasses|frame|0|kitchen|1
dishwasher|dishwasher|1|kitchen|1
stove|stove|1|kitchen|1
teapot|vase|0|kitchen|1
stove|stove|1|kitchen|1
shelf|bookcase|0|kitchen|1
kitchen|dwelling||kitchen|
spoon|spoon|1|kitchen|1
ladle|ladle|1|kitchen|1
whisk|bubbly|0|kitchen|1
middle|torso||kitchen|
kitchen|dwelling||kitchen|
plates|plates|1|kitchen|1
glasses|frame|0|kitchen|1
stools|enumerative|0|kitchen|1
oven|stove|0|kitchen|1
cupboard|cupboard|1|kitchen|1
