Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
side|cupboard||avs|
side|side||centre_forward|
sink|sink|1|medicare|0
bottles|bottles|1|racing_bike|0
kitchen|dwelling||dever|
fridge|fridge|1|panelling|0
sink|sink|1|sram|0
wall|wall||engineered|
shelf|bookcase|0|office|0
cups|resins|0|antique|0
glasses|frame|0|laware|0
side|side||slaughtered|
sink|sink|1|talin|0
plate|human|0|tarczyn|0
paper|paper||mousetrap|
pieces|pieces||lotteries|
dish|computer||experiments|
side|side||study|
cooker|waffle|0|brucellosis|0
kitchen|dwelling||dishwasher|
cutlery|cutlery|1|living_room|0
containers|containers|1|hawkeye|0
wall|paperweight||mcrd|
shelf|bookcase|0|luthi|0
jars|jars|0|turbines|0
room|building||cristeta|
plant|jewelry|0|natanz|0
front|battlefield||showcase|
stools|neo-baroque|0|courtside|0
plates|plates|0|characteristics|0
glasses|frame|0|carbonated|0
