Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
corner|gorzow||kitchen|
kitchen|dwelling||kitchen|
fridge|fridge|1|kitchen|1
side|side||kitchen|
sink|sink|1|kitchen|1
dishwasher|dishwasher|1|kitchen|1
cupboard|cupboard|1|kitchen|1
coffee|coffee||kitchen|
cups|cups|1|kitchen|1
front|battlefield||kitchen|
cupboard|cupboard|1|kitchen|1
sink|sink|1|kitchen|1
bottle|suleymanoglu|0|kitchen|1
cupboard|cupboard|1|kitchen|1
wall|paperweight||kitchen|
boards|ice_hockey_rink|0|kitchen|1
glasses|frame|0|kitchen|1
dishwasher|dishwasher|1|kitchen|1
stove|stove|1|kitchen|1
teapot|teapot|1|kitchen|1
stove|stove|1|kitchen|1
shelf|bookcase|0|kitchen|1
kitchen|dwelling||kitchen|
spoon|spoon|1|kitchen|1
ladle|ladle|1|kitchen|1
whisk|whisk|1|kitchen|1
middle|torso||kitchen|
kitchen|dwelling||kitchen|
plates|plates|1|kitchen|1
glasses|frame|0|kitchen|1
stools|neo-renaissance|0|kitchen|1
oven|stove|0|kitchen|1
cupboard|cupboard|1|kitchen|1
Word|PartNet||Disambiguation|
side|cupboard||kitchen|
side|side||kitchen|
sink|sink|1|kitchen|1
bottles|bottles|1|kitchen|1
kitchen|dwelling||kitchen|
fridge|fridge|1|kitchen|1
sink|sink|1|kitchen|1
wall|paperweight||kitchen|
shelf|bookcase|0|kitchen|1
cups|gristmill|0|kitchen|1
glasses|frame|0|kitchen|1
side|side||kitchen|
sink|sink|1|kitchen|1
plate|human|0|kitchen|1
paper|paper||kitchen|
pieces|pieces||kitchen|
dish|computer||kitchen|
side|side||kitchen|
cooker|waffle|0|kitchen|1
kitchen|dwelling||kitchen|
cutlery|cutlery|1|kitchen|1
containers|containers|1|kitchen|1
wall|wall_clock||kitchen|
shelf|bookcase|0|kitchen|1
jars|jars|0|kitchen|1
room|building||kitchen|
plant|zippo|0|kitchen|1
front|battlefield||kitchen|
stools|sunday-school|0|kitchen|1
plates|plates|0|kitchen|1
glasses|frame|0|kitchen|1
Word|PartNet||Disambiguation|
kitchen|dwelling||kitchen|
kitchen|dwelling||kitchen|
middle|torso||kitchen|
end|interceptor||kitchen|
stove|stove|1|kitchen|1
kitchen|dwelling||kitchen|
kitchen|dwelling||kitchen|
cupboards|cupboards|1|kitchen|1
oven|stove|0|kitchen|1
dishwasher|dishwasher|1|kitchen|1
cupboards|hirschsprung|0|kitchen|1
sink|sink|1|kitchen|1
objects|objects||kitchen|
corner|basson||kitchen|
fridge|fridge|1|kitchen|1
Word|PartNet||Disambiguation|
room|building||house|
middle|torso||house|
room|building||house|
kitchen|dwelling||house|
cooker|unwearable|0|house|0
corner|piot||house|
room|building||house|
walls|walls||house|
counter|multirole|0|house|0
left|outfield||house|
oven|stove|0|house|0
sink|sink|1|house|0
side|side||house|
fridge|fridge|1|house|0
ceiling|room||house|
side|side||house|
garden|garden||house|
terrace|garden|0|house|0
lawn|lawn||house|
stone|stone||house|
curtain|curtain|1|house|0
of|faulty||house|
side|side||house|
wine|coffee||house|
cupboard|cupboard|1|house|0
chair|chair|1|house|0
front|battlefield||house|
room|building||house|
parquet|theater||house|
