Word|PartNet|PartNetFail|Disambiguation|DisambiguationFail
side|cupboard||kitchen|
side|side||kitchen|
sink|sink|1|kitchen|1
bottles|bottles|1|kitchen|1
kitchen|dwelling||kitchen|
fridge|fridge|1|kitchen|1
sink|sink|1|kitchen|1
wall|paperweight||kitchen|
shelf|bookcase|0|kitchen|1
cups|gristmill|0|kitchen|1
glasses|frame|0|kitchen|1
side|side||kitchen|
sink|sink|1|kitchen|1
plate|human|0|kitchen|1
paper|paper||kitchen|
pieces|pieces||kitchen|
dish|computer||kitchen|
side|side||kitchen|
cooker|waffle|0|kitchen|1
kitchen|dwelling||kitchen|
cutlery|cutlery|1|kitchen|1
containers|containers|1|kitchen|1
wall|wall_clock||kitchen|
shelf|bookcase|0|kitchen|1
jars|jars|0|kitchen|1
room|building||kitchen|
plant|zippo|0|kitchen|1
front|battlefield||kitchen|
stools|sunday-school|0|kitchen|1
plates|plates|0|kitchen|1
glasses|frame|0|kitchen|1
